OldName;NewName
PORCEN_REN_FACTURA;PORCENTAJE_REN_FAC
TOTAL_REN_FACTURA;TOTAL_REN_FAC
TOTAL_BASEI_IVAN_FACTURA;TOTAL_BASEI_IVAN_FAC
PORCEN_IVAR_FACTURA;PORCENTAJE_IVAR_FAC
TOTAL_IVAR_FACTURA;TOTAL_IVAR_FAC
PORCEN_RER_FACTURA;PORCENTAJE_RER_FAC
TOTAL_RER_FACTURA;TOTAL_RER_FAC
TOTAL_BASEI_IVAR_FACTURA;TOTAL_BASEI_IVAR_FAC
PORCEN_IVAS_FACTURA;PORCENTAJE_IVAS_FAC
TOTAL_IVAS_FACTURA;TOTAL_IVAS_FAC
PORCEN_RES_FACTURA;PORCENTAJE_RES_FAC
TOTAL_RES_FACTURA;TOTAL_RES_FAC
TOTAL_BASEI_IVAS_FACTURA;TOTAL_BASEI_IVAS_FAC
PORCEN_IVAE_FACTURA;PORCENTAJE_IVAE_FAC
TOTAL_IVAE_FACTURA;TOTAL_IVAE_FAC
PORCEN_REE_FACTURA;PORCENTAJE_REE_FAC
TOTAL_REE_FACTURA;TOTAL_REE_FAC
TOTAL_BASEI_IVAE_FACTURA;TOTAL_BASEI_IVAE_FAC
TOTAL_BASES_FACTURA;TOTAL_BASES_FAC
TOTAL_IMPUESTOS_FACTURA;TOTAL_IMPUESTOS_FAC
FORMA_PAGO_FACTURA;FORMA_PAGO_FAC
PORCEN_RETENCION_FACTURA;PORCENTAJE_RETENCION_FAC
TOTAL_RETENCION_FACTURA;TOTAL_RETENCION_FAC
TOTAL_LIQUIDO_FACTURA;TOTAL_LIQUIDO_FAC
NRO_FACTURA_ABONO_FACTURA;NUMERO_FAC_ABONO_FAC
SERIE_FACTURA_ABONO_FACTURA;SERIE_FAC_ABONO_FAC
TEXTO_LEGAL_FACTURA_CLIENTE_FACTURA;TEXTO_LEGAL_CLIENTE_FAC
TEXTO_LEGAL_FACTURA_EMPRESA_FACTURA;TEXTO_LEGAL_EMPRESA_FAC
DOCUMENTO_FACTURA;DOCUMENTO_FAC
COMENTARIOS_FACTURA;COMENTARIOS_FAC
CONTADOR_LINEAS_FACTURA;CONTADOR_LINEAS_FAC
ESCREARARTICULOS_FACTURA;ESCREARARTICULOS_FAC
ESDESCRIPCIONES_AMP_FACTURA;ESDESCRIPCIONES_AMP_FAC
ESFECHADEENTREGA_FACTURA;ESFECHADEENTREGA_FAC
XML_FACTURA;XML_FAC
CODIGO_CAJERO_FACTURA;CODIGO_CAJERO_FAC
CODIGO_ALMACEN_FACTURA;CODIGO_ALM_FAC
CODIGO_CAJA_FACTURA;CODIGO_CAJA_FAC
NUMERO_OPERACION_FACTURA;NUMERO_OPERACION_FAC
ID_CONSOLIDACION;ID_FACCON
SERIE_FACTURA_CONSOLIDACION;SERIE_FAC_FACCON
NRO_FACTURA_CONSOLIDACION;NUMERO_FAC_FACCON
REQUEST_ID_CONSOLIDACION;REQUEST_ID_CONSOLIDACION_FACCON
QUEUE_ID_CONSOLIDACION;QUEUE_ID_CONSOLIDACION_FACCON
QUEUE_ID_CANCEL_CONSOLIDACION;QUEUE_ID_CANCEL_FACCON
ISSUER_IRS_ID_CONSOLIDACION;ISSUER_IRS_ID_CONSOLIDACION_FACCON
ISSUED_TIME_CONSOLIDACION;ISSUED_TIME_FACCON
CHAIN_NUMBER_CONSOLIDACION;CHAIN_NUMBER_FACCON
CHAIN_HASH_CONSOLIDACION;CHAIN_HASH_FACCON
VERIFACTU_URL_CONSOLIDACION;VERIFACTU_URL_FACCON
QRCODE_PNG_CONSOLIDACION;QRCODE_PNG_FACCON
FECHA_PROCESAMIENTO_CONSOLIDACION;FECHA_PROCESAMIENTO_FACCON
ESTADO_CONSOLIDACION;ESTADO_FACCON
RESPUESTA_COMPLETA_CONSOLIDACION;RESPUESTA_COMPLETA_FACCON
PETICION_COMPLETA_CONSOLIDACION;PETICION_COMPLETA_FACCON
NRO_FACTURA_LINEA;NUMERO_FAC_FACLIN
SERIE_FACTURA_LINEA;SERIE_FAC_FACLIN
CODIGO_EMPRESA_FACTURA_LINEA;CODIGO_EMP_FACLIN
LINEA_FACTURA_LINEA;LINEA_FACLIN
